

"OTU Board Wavelength Info Report"
"Save Time: 01/02/2015 11:12:31"
"User Name:c1ghutx8"
""

"Total 3,909 Records"

"NE Name","NE Type","NE ID","Slot No.","Board Name","Port No.","Port Name","Wavelength(Band/No./Wavelength/Frequency)"
CHGPPBCHO02.01,OptiX OSN 1800,12-2278,Shelf0(REPISA 1)-1,LSX,1,1(IN/OUT_1/10Gb/193.10/CHGPPBCHO02-HHNNPBHCO0C),C/60/1552.52nm/193.100THz
CHGPPBCHO02.01,OptiX OSN 1800,12-2278,Shelf0(REPISA 1)-3,LSX,1,1(IN/OUT_1/10Gb/193.10/APZCXXAPO0T-CHGPPBCHO02),C/60/1552.52nm/193.100THz
CHGPPBCHO02.01,OptiX OSN 1800,12-2278,Shelf0(REPISA 1)-4,LOE,1,1(IN1/OUT1_1/10Gb/192.90/CHGPPBCHO02-ZCTLPBZTO01),C/64/1554.13nm/192.900THz
CHGPPBCHO02.01,OptiX OSN 1800,12-2278,Shelf0(REPISA 1)-5,LOE,1,1(IN1/OUT1),C/52/1549.32nm/193.500THz
CHHHXHCEO12.01,OptiX OSN 1800,12-1289,Shelf0(REPISA 1)-2,LSX,1,1(IN/OUT_1/10Gb/193.0/CHHHXHCEO12-MQUIXHMEO02),C/62/1553.33nm/193.000THz
CHHHXHCEO12.01,OptiX OSN 1800,12-1289,Shelf0(REPISA 1)-1,LSX,1,1(IN/OUT_1/10Gb/192.9/CHHHXHCEO12-CMRGXHCCO08),C/64/1554.13nm/192.900THz
CHLPXGCHO14.01,OptiX OSN 1800,12-2412,Shelf0(REPISA 1)-1,LQM2,1,1(IN1/OUT1_1/2.5Gb/192.90/CHLPXGCHO14-ZDROXGZDO00),C/64/1554.13nm/192.900THz
CHLPXGCHO14.01,OptiX OSN 1800,12-2412,Shelf0(REPISA 1)-1,LQM2,2,2(IN2/OUT2),/
CHOPVRLCO02.01,OptiX OSN 1800,12-2480,Shelf0(REPISA 1)-1,LSX,1,1(IN/OUT1_1/10Gb/195.70/CHOPVRLCO02-CTCSVRPTO17),C/8/1531.90nm/195.700THz
CHOPVRLCO02.01,OptiX OSN 1800,12-2480,Shelf0(REPISA 1)-2,LSX,1,1(IN/OUT1_1/10Gb/195.70/CHOPVRLCO02-CTCSVRPTO17),C/8/1531.90nm/195.700THz
CHOPVRLCO02.01,OptiX OSN 1800,12-2480,Shelf0(REPISA 1)-3,LSX,1,1(IN/OUT_1/10Gb/195.80/CHOPVRLCO02-VNTATALVO05),C/6/1531.12nm/195.800THz
CHOPVRLCO02.01,OptiX OSN 1800,12-2480,Shelf0(REPISA 1)-4,LSX,1,1(IN/OUT_2/10Gb/195.80/CHOPVRLCO02-CTCSVRPTO17),C/6/1531.12nm/195.800THz
CHOPVRLCO02.01,OptiX OSN 1800,12-2480,Shelf0(REPISA 1)-5,LSX,1,1(IN/OUT1_1/10Gb/195.40/AGDUVRADO0A-CTCSVRPTO17),C/14/1534.25nm/195.400THz
CHOPVRLCO02.01,OptiX OSN 1800,12-2480,Shelf0(REPISA 1)-5,LSX,3,3(RX/TX_1/10Gb/195.40/AGDUVRADO0A-CTCSVRPTO17),C/14/1534.25nm/195.400THz
CITLVRCIO03.02,OptiX OSN 1800,12-2422,Shelf0(REPISA 2)-1,LSX,1,1(IN/OUT_1/10GB/195.8/NRJSVRNAO08-TTYCVRTAO05),C/6/1531.12nm/195.800THz
CITLVRCIO03.02,OptiX OSN 1800,12-2422,Shelf0(REPISA 2)-1,LSX,3,3(RX/TX_1/10GB/195.8/NRJSVRNAO08-TTYCVRTAO05),C/6/1531.12nm/195.800THz
CITLVRCIO03.02,OptiX OSN 1800,12-2422,Shelf0(REPISA 2)-2,LSX,1,1(IN/OUT_1/10GB/196.0/NRJSVRNAO08-TTYCVRTAO05),C/2/1529.55nm/196.000THz
CITLVRCIO03.02,OptiX OSN 1800,12-2422,Shelf0(REPISA 2)-2,LSX,3,3(RX/TX1_/10GB/196.0/NRJSVRNAO08-TTYCVRTAO05),C/2/1529.55nm/196.000THz
CITLVRCIO03.02,OptiX OSN 1800,12-2422,Shelf0(REPISA 2)-3,LOE,1,1(IN1/OUT1_1/10GB/195.9/CITLVRCIO03-NRJSVRNAO08),C/4/1530.33nm/195.900THz
CITLVRCIO03.03,OptiX OSN 1800,12-2581,Shelf0(REPISA 3)-1,LSX,1,1(IN/OUT),C/64/1554.13nm/192.900THz
CITLVRCIO03.03,OptiX OSN 1800,12-2581,Shelf0(REPISA 3)-1,LSX,3,3(RX/TX),C/64/1554.13nm/192.900THz
CITLVRCIO03.03,OptiX OSN 1800,12-2581,Shelf0(REPISA 3)-2,LSX,1,1(IN/OUT),C/62/1553.33nm/193.000THz
CITLVRCIO03.03,OptiX OSN 1800,12-2581,Shelf0(REPISA 3)-2,LSX,3,3(RX/TX),C/62/1553.33nm/193.000THz
CITLVRCIO03.03,OptiX OSN 1800,12-2581,Shelf0(REPISA 3)-3,LOE,1,1(IN1/OUT1),C/60/1552.52nm/193.100THz
CJNCXGCUO02.01,OptiX OSN 1800,12-2340,Shelf0(REPISA 1)-1,LSX,1,1(IN/OUT_1/10Gb/192.90/OMTPXGOMO06-PPNCOAPNO0I),C/64/1554.13nm/192.900THz
CJNCXGCUO02.01,OptiX OSN 1800,12-2340,Shelf0(REPISA 1)-1,LSX,3,3(RX/TX_1/10Gb/192.90/OMTPXGOMO06-PPNCOAPNO0I),C/64/1554.13nm/192.900THz
CJNCXGCUO02.01,OptiX OSN 1800,12-2340,Shelf0(REPISA 1)-2,LQM,1,1(IN1/OUT1_2/2.5Gb/193.00/OMTPXGOMO06-PPNCOAPNO0I),C/62/1553.33nm/193.000THz
CJNCXGCUO02.01,OptiX OSN 1800,12-2340,Shelf0(REPISA 1)-2,LQM,3,3(RX1/TX1_2/2.5Gb/193.00/OMTPXGOMO06-PPNCOAPNO0I),C/62/1553.33nm/193.000THz
CJNCXGCUO02.01,OptiX OSN 1800,12-2340,Shelf0(REPISA 1)-3,LQM2,1,1(IN1/OUT1_1/2.5Gb/193.50/CJNCXGCUO02-OMTPXGOMO06),C/52/1549.32nm/193.500THz
CJNCXGCUO02.01,OptiX OSN 1800,12-2340,Shelf0(REPISA 1)-3,LQM2,2,2(IN2/OUT2),/
CKCRVRCCO00.02,OptiX OSN 1800,12-2518,Shelf0(REPISA 2)-1,LOE,1,1(IN1/OUT1_1/10Gb/195.50/ALVRVRALO04-CKCRVRCCO00),C/12/1533.47nm/195.500THz
CKCRVRCCO00.02,OptiX OSN 1800,12-2518,Shelf0(REPISA 2)-2,LQM2,1,1(IN1/OUT1_1/2.5Gb/193.40/ALVRVRALO04-CSLPVRCOO03),C/54/1550.12nm/193.400THz
CKCRVRCCO00.02,OptiX OSN 1800,12-2518,Shelf0(REPISA 2)-2,LQM2,2,2(IN2/OUT2),/
CKCRVRCCO00.02,OptiX OSN 1800,12-2518,Shelf0(REPISA 2)-2,LQM2,3,3(RX1/TX1_1/2.5Gb/193.40/ALVRVRALO04-CSLPVRCOO03),C/54/1550.12nm/193.400THz
CLCNXSERO02.01,OptiX OSN 1800,12-1241,Shelf0(REPISA 1)-1,LOE,1,1(IN1/OUT1_2/10Gb/195.90/CLCNXSERO02-CLCNXSHOO06),C/4/1530.33nm/195.900THz
CLCNXSERO02.01,OptiX OSN 1800,12-1241,Shelf0(REPISA 1)-3,LQM,1,1(IN1/OUT1_1/2.5Gb/193.30/CLCNXSERO02-CLTOXSCLO03),C/56/1550.92nm/193.300THz
CLCNXSHOO06.01,OptiX OSN 1800,12-1243,Shelf0(REPISA 1)-1,LOE,1,1(IN1/OUT1_2/10Gb/196.00/CLCNXSHOO06-CLTOXSCLO03),C/2/1529.55nm/196.000THz
CLCNXSHOO06.01,OptiX OSN 1800,12-1243,Shelf0(REPISA 1)-3,LOE,1,1(IN1/OUT1_1/10Gb/195.90/CLCNXSERO02-CLCNXSHOO06),C/4/1530.33nm/195.900THz
CLCNXSVBO02.01,OptiX OSN 1800,12-1360,Shelf0(REPISA 1)-1,LOE,1,1(IN1/OUT1_1/10Gbps/193.3/CLCNXSAYO0E-CLCNXSVBO02),C/56/1550.92nm/193.300THz
